time,yr_cleaned,event,era,sub_era,start,y-key
62 BBY,62 BBY,Komari Vosa is born. (Approximate date)[146],The Great Peace of the Republic,0,-62,2
62 BBY,62 BBY,The Flash speeder is developed on Naboo.,The Great Peace of the Republic,0,-62,3
62 BBY,62 BBY,The R3 series astromech droid is developed around this time.,The Great Peace of the Republic,0,-62,4
62 BBY,62 BBY,Jocasta Nu joins the Jedi Council.[147],The Great Peace of the Republic,0,-62,5
61 BBY,61 BBY,"Followers of the H'kig religion, fleeing from persecution on their homeworld, settle the planet Rishi.",The Great Peace of the Republic,0,-61,0
60 BBY,60 BBY,Thoris Darus is elected Supreme Chancellor.,The Great Peace of the Republic,0,-60,0
60 BBY,60 BBY,"A massive wave of religious refugees from Galand arrived on Rishi. These settlers, who were members of the strict H'kig sect, took up residence in the planet's lowlands and ignored the native Rishii.[1]",The Great Peace of the Republic,0,-60,1
60 BBY,60 BBY,The ship that would later be known as the Millennium Falcon is constructed over Corellia.,The Great Peace of the Republic,0,-60,2
60 BBY,60 BBY,"The Corellian Security Force, or CorSec, is formed on Corellia.",The Great Peace of the Republic,0,-60,3
60 BBY,60 BBY,Nejaa Halcyon becomes a Jedi Knight.,The Great Peace of the Republic,0,-60,4
60 BBY,60 BBY,The Mandalorian Civil War begins.,The Great Peace of the Republic,0,-60,5
60 BBY,60 BBY,Jaster Mereel becomes Mandalore.,The Great Peace of the Republic,0,-60,6
60 BBY,60 BBY,Tosche Station is constructed on Tatooine.,The Great Peace of the Republic,0,-60,7
60 BBY,60 BBY,Raith Sienar is born. (Approximate date),The Great Peace of the Republic,0,-60,8
59 BBY,59 BBY,Nejaa Halcyon and Scerra have a secret wedding on Corellia.,The Great Peace of the Republic,0,-59,0
59 BBY,59 BBY,Qui-Gon Jinn's first apprentice passes the Trials and becomes a Jedi Knight. Qui-Gon becomes a Jedi Master and takes Xanatos as his second Padawan learner.,The Great Peace of the Republic,0,-59,1
58 BBY,58 BBY,Jabba Desilijic Tiure is sent to Tatooine to represent the Desilijic Clan.,The Great Peace of the Republic,0,-58,0
58 BBY,58 BBY,The Yinchorri gain representation in the Galactic Senate.,The Great Peace of the Republic,0,-58,1
58 BBY,58 BBY,Garen Muln is born on an unknown planet.,The Great Peace of the Republic,0,-58,2
58 BBY,58 BBY,Mace Windu is sent to Hurikane to negotiate with the insectoid-rock humanoids. He makes peace with them and receives purple Hurrikaine crystals that he uses to build his lightsaber.,The Great Peace of the Republic,0,-58,3
58 BBY,58 BBY,Jango Fett is orphaned when his family of simple farmers is murdered by the Mandalorian Death Watch. He is picked up by former Journeyman Protector Jaster Mereel.[148],The Great Peace of the Republic,0,-58,4
57 BBY,57 BBY,The Yinchorri join the Galactic Republic.,The Great Peace of the Republic,0,-57,0
57 BBY,57 BBY,Obi-Wan Kenobi is born on Stewjon.,The Great Peace of the Republic,0,-57,1
57 BBY,57 BBY,Cerasi is born on Melida/Daan. (Approximate date),The Great Peace of the Republic,0,-57,2
57 BBY,57 BBY,Quinlan Vos is born on Kiffu.,The Great Peace of the Republic,0,-57,3
57 BBY,57 BBY,The Andoan Wars begin.,The Great Peace of the Republic,0,-57,4
57 BBY,57 BBY,Garen Muln begins training in the Jedi Temple under Master Yoda.,The Great Peace of the Republic,0,-57,5
57 BBY,57 BBY,Bruck Chun is born on Telos IV.,The Great Peace of the Republic,0,-57,6
56 BBY,56 BBY,Nerra Ziveri turns control of the Jedi academy on Cularin to Lanius Qel-Bertuk and disappears.,The Great Peace of the Republic,0,-56,0
56 BBY,56 BBY,Obi-Wan Kenobi begins training in the Jedi Temple under Master Yoda.,The Great Peace of the Republic,0,-56,1
55 BBY,55 BBY,The Fifth Galactic Games are held.,The Great Peace of the Republic,0,-55,0
55 BBY,55 BBY,The Neimoidians become the leaders of the Trade Federation.,The Great Peace of the Republic,0,-55,1
55 BBY,55 BBY,Siri Tachi is born on an unknown planet.,The Great Peace of the Republic,0,-55,2
55 BBY,55 BBY,Bant Eerin is born on Dac.,The Great Peace of the Republic,0,-55,3
54 BBY,54 BBY,"Darth Maul is born on Dathomir, and given to Darth Sidious by his mother to escape the fate of becoming a Nightbrother.",The Great Peace of the Republic,0,-54,0
54 BBY,54 BBY,Ranulph Tarkin is elected Senator of the Seswenna sector.,The Great Peace of the Republic,0,-54,1
53 BBY,53 BBY,"Xanatos leaves the Jedi Order after Qui-Gon Jinn is forced to kill the boy's father, Crion, on Telos IV.",The Great Peace of the Republic,0,-53,0
53 BBY,53 BBY,"The opera, The Brief Reign of Future Wraiths, leaves Coruscant to tour the galaxy.",The Great Peace of the Republic,0,-53,1
53 BBY,53 BBY,Padawan Jorus C'baoth attends Mirnic University.,The Great Peace of the Republic,0,-53,2
53 BBY,53 BBY,Bossk is born on Trandosha.,The Great Peace of the Republic,0,-53,3
53 BBY,53 BBY,Aurra Sing is born on Nar Shaddaa.,The Great Peace of the Republic,0,-53,4
52 BBY,52 BBY,The Summertime War begins. (Approximate date),The Great Peace of the Republic,0,-52,0
52 BBY,52 BBY,Palpatine is elected to the Galactic Senate as Senator of Naboo and the Chommell sector.[149],The Great Peace of the Republic,0,-52,1
52 BBY,52 BBY,Oppo Rancisis begins teaching at the Jedi Temple on Coruscant.,The Great Peace of the Republic,0,-52,2
52 BBY,52 BBY,"The Galactic Correctional Authority is formed, and establishes prisons on several worlds including Oovo IV.",The Great Peace of the Republic,0,-52,3
52 BBY,52 BBY,Damask Holdings ceases operations.,The Great Peace of the Republic,0,-52,4
52 BBY,52 BBY,Jaster Mereel is killed at the Battle of Korda Six.[148],The Great Peace of the Republic,0,-52,5
52 BBY,52 BBY,Jango Fett becomes leader of the Mandalorians.[148],The Great Peace of the Republic,0,-52,6
52 BBY,52 BBY,Jedi Master Dooku mediates an end to the Sevarcos Dispute.,The Great Peace of the Republic,0,-52,7
52 BBY,52 BBY,Jocasta Nu steps down from the Jedi Council.,The Great Peace of the Republic,0,-52,8
52 BBY,52 BBY,Jar Jar Binks is born on Naboo.,The Great Peace of the Republic,0,-52,9
52 BBY,52 BBY,Bolabo Hujaan is born on Sullust.,The Great Peace of the Republic,0,-52,10
52 BBY,52 BBY,Owen Lars is born on Ator.,The Great Peace of the Republic,0,-52,11
52 BBY,52 BBY,"Palpatine's predecessor as senator of Naboo, Vidar Kim, is assassinated on Coruscant.[149]",The Great Peace of the Republic,0,-52,12
51 BBY,51 BBY,Silya Shessaun is born on Thesme.,The Great Peace of the Republic,0,-51,0
51 BBY,51 BBY,Jorus C'baoth begins his service as the personal advisor to Senator Palpatine of Naboo.,The Great Peace of the Republic,0,-51,1
51 BBY,51 BBY,The Dark Woman brings Aurra Sing to Coruscant for Jedi training.,The Great Peace of the Republic,0,-51,2
51 BBY,51 BBY,Gilad Pellaeon is born on Corellia.,The Great Peace of the Republic,0,-51,3
50 BBY,50 BBY,Galladinium founds Galladinium's Galactic Imports on Lenthalis.,The Great Peace of the Republic,0,-50,0
50 BBY,50 BBY,The Moddell sector is admitted to the Republic as a freestanding subsector.[1],The Great Peace of the Republic,0,-50,1
50 BBY,50 BBY,Young Anomids develop a nonconformist subculture.,The Great Peace of the Republic,0,-50,2
50 BBY,50 BBY,Annaj joins the Galactic Republic and becomes the Moddell sector capital.,The Great Peace of the Republic,0,-50,3
50 BBY,50 BBY,The Galactic Republic makes first contact with the Eloms.,The Great Peace of the Republic,0,-50,4
50 BBY,50 BBY,Quarg and his pirates are exiled from the Korteen Belt to Drexel.,The Great Peace of the Republic,0,-50,5
50 BBY,50 BBY,The Arkanian Revolution is fought over the re-engineering of the Yaka.,The Great Peace of the Republic,0,-50,6
50 BBY,50 BBY,Dooku takes Komari Vosa as his second Padawan.,The Great Peace of the Republic,0,-50,7
50 BBY,50 BBY,Jorj Car'das is born on Corellia.,The Great Peace of the Republic,0,-50,8
50 BBY,50 BBY,Gorm the Dissolver is born.,The Great Peace of the Republic,0,-50,9
50 BBY,50 BBY,Schennt is born on Corulag. (Approximate date),The Great Peace of the Republic,0,-50,10
50 BBY,50 BBY,Sayer Mon Neela is born.,The Great Peace of the Republic,0,-50,11
50 BBY,50 BBY,Salt is introduced to the Arcona.,The Great Peace of the Republic,0,-50,12
50 BBY,50 BBY,Galactic Republic scouts discover Bosph and the Bosph species.,The Great Peace of the Republic,0,-50,13
49 BBY,49 BBY,Lorana Jinzler is born on Coruscant.,The Great Peace of the Republic,0,-49,0
49 BBY,49 BBY,Rorworr is born on Kashyyyk.,The Great Peace of the Republic,0,-49,1
49 BBY,49 BBY,Deel Surool is born on Ryloth.,The Great Peace of the Republic,0,-49,2
49 BBY,49 BBY,Sylvn is born on Cerea.,The Great Peace of the Republic,0,-49,3
49 BBY,49 BBY,Pter Thanas is born.,The Great Peace of the Republic,0,-49,4
48 BBY,48 BBY,Aayla Secura is born on Ryloth.,The Great Peace of the Republic,0,-48,0
48 BBY,48 BBY,Toba is born on Naboo.,The Great Peace of the Republic,0,-48,1
48 BBY,48 BBY,Gaen Drommel is born on Oplovis.[150],The Great Peace of the Republic,0,-48,2
48 BBY,48 BBY,Sola Naberrie is born on Naboo.[139],The Great Peace of the Republic,0,-48,3
48 BBY,48 BBY,Mon Mothma is born on Chandrila.[144],The Great Peace of the Republic,0,-48,4
48 BBY,48 BBY,Arani Korden is born on Naboo.,The Great Peace of the Republic,0,-48,5
47 BBY,47 BBY,Sharad Hett leaves the Jedi Temple.,The Great Peace of the Republic,0,-47,0
47 BBY,47 BBY,A'Sharad Hett is born on Tatooine.,The Great Peace of the Republic,0,-47,1
47 BBY,47 BBY,Sia-Lan Wezz is born.,The Great Peace of the Republic,0,-47,2
47 BBY,47 BBY,Beru Whitesun is born on Tatooine.,The Great Peace of the Republic,0,-47,3
47 BBY,47 BBY,Carlist Rieekan is born on Alderaan.,The Great Peace of the Republic,0,-47,4
46 BBY,46 BBY,Ars Veruna succeeds Bon Tapalo as King of Naboo.,The Great Peace of the Republic,0,-46,0
46 BBY,46 BBY,Padmé Amidala (Padmé Naberrie) is born to Ruwee and Jobal Naberrie on Naboo.,The Great Peace of the Republic,0,-46,1
46 BBY,46 BBY,Airen Cracken is born on Contruum.,The Great Peace of the Republic,0,-46,2
46 BBY,46 BBY,Quinlan Vos rescues a two-year old Aayla Secura from a Hutt crime lord on Ryloth and convinces the Jedi Order to begin training Secura as a Jedi.,The Great Peace of the Republic,0,-46,3
45 BBY,45 BBY,Byss is first charted by the Galactic Republic.,The Great Peace of the Republic,0,-45,0
45 BBY,45 BBY,Brandei is born on Mantooine.,The Great Peace of the Republic,0,-45,1
45 BBY,45 BBY,The Katana fleet is lost.,The Great Peace of the Republic,0,-45,2
45 BBY,45 BBY,Raymus Antilles is born on Alderaan.,The Great Peace of the Republic,0,-45,3
45 BBY,45 BBY,A pair of comets struck and poisoned Toong'L.[1],The Great Peace of the Republic,0,-45,4
45 BBY,45 BBY,Qui-Gon Jinn chooses a young Obi-Wan Kenobi as his Padawan.,The Great Peace of the Republic,0,-45,5
44 BBY,44 BBY,The Stark Hyperspace War is fought.,The Great Peace of the Republic,0,-44,0
44 BBY,44 BBY,Adi Gallia takes Siri Tachi as her Padawan.,The Great Peace of the Republic,0,-44,1
44 BBY,44 BBY,"Xanatos commits suicide on Telos IV by jumping into a pool of acid, rather than be captured by his former master, Qui-Gon Jinn.",The Great Peace of the Republic,0,-44,2
44 BBY,44 BBY,Kol Huro Unrest.,The Great Peace of the Republic,0,-44,3
44 BBY,44 BBY,Greedo is born on Rodia.,The Great Peace of the Republic,0,-44,4
44 BBY,44 BBY,Tap-Nar-Pal is born on Cerea.,The Great Peace of the Republic,0,-44,5
44 BBY,44 BBY,The Great Clan Wars erupt on Mandalore.,The Great Peace of the Republic,0,-44,6
44 BBY,44 BBY,The Mandalorians are destroyed by a Jedi task force led by Count Dooku in the Battle of Galidraan. Jango Fett is the only survivor.[148],The Great Peace of the Republic,0,-44,7
44 BBY,44 BBY,Plo Koon joins the Jedi Council.,The Great Peace of the Republic,0,-44,8
44 BBY,44 BBY,Tyvokka is killed by Trade Federation droids.,The Great Peace of the Republic,0,-44,9
43 BBY,43 BBY,Dean Jinzler is born on Coruscant.,The Great Peace of the Republic,0,-43,0
43 BBY,43 BBY,Jenna Zan Arbor begins kidnapping Jedi and other Force-sensitives to experiment on as a means of studying the Force. She operates primarily in a hidden laboratory on Simpla-12.,The Great Peace of the Republic,0,-43,1
43 BBY,43 BBY,The planet of Kegan ends its thirty year isolation.,The Great Peace of the Republic,0,-43,2
43 BBY,43 BBY,Ferus Olin is born.,The Great Peace of the Republic,0,-43,3
42 BBY,42 BBY,Omo Bouri dies.,The Great Peace of the Republic,0,-42,0
41 BBY,41 BBY,"Anakin Skywalker, the Chosen One who will bring balance to the Force, is born to a slave named Shmi Skywalker on an unknown world.[125]",The Great Peace of the Republic,0,-41,0
41 BBY,41 BBY,Jedi Master Tahl dies on New Apsolon.,The Great Peace of the Republic,0,-41,1
41 BBY,41 BBY,"Kit Fisto takes on Tahl's apprentice, Bant Eerin, as his own apprentice.",The Great Peace of the Republic,0,-41,2
41 BBY,41 BBY,Shea Sadashassa is born on Herdessa.,The Great Peace of the Republic,0,-41,3
41 BBY,41 BBY,Darra Thel-Tanis is born.,The Great Peace of the Republic,0,-41,4
41 BBY,41 BBY,Kitster Chanchani Banai is born on Tatooine.,The Great Peace of the Republic,0,-41,5
40 BBY,40 BBY,Sien Sovv is born on Sullust.,The Great Peace of the Republic,0,-40,0
40 BBY,40 BBY,Finis Valorum is elected Supreme Chancellor of the Galactic Republic.,The Great Peace of the Republic,0,-40,1
40 BBY,40 BBY,Aurra Sing is kidnapped by Sennex pirates on Ord Namurt.,The Great Peace of the Republic,0,-40,2
40 BBY,40 BBY,Barriss Offee is born aboard a starliner.[151],The Great Peace of the Republic,0,-40,3
39 BBY,39 BBY,"Shmi and Anakin Skywalker come to live on Tatooine when they are purchased by Gardulla the Hutt. However, the Hutt ultimately loses her prize to a Toydarian junk dealer named Watto.",The Great Peace of the Republic,0,-39,0
39 BBY,39 BBY,"The Galactic Republic makes its first known survey of the swamp world, Dagobah.",The Great Peace of the Republic,0,-39,1
39 BBY,39 BBY,The Andoan Wars come to an end following the Battle of Raquish.,The Great Peace of the Republic,0,-39,2
39 BBY,39 BBY,Jax Pavan is born on Coruscant.,The Great Peace of the Republic,0,-39,3
38 BBY,38 BBY,Quinlan Vos takes Aayla Secura as his Padawan.,The Great Peace of the Republic,0,-38,0
38 BBY,38 BBY,Narro Sienar dies when his starship is destroyed near Dantooine.,The Great Peace of the Republic,0,-38,1
38 BBY,38 BBY,Diric Wessiri is born.,The Great Peace of the Republic,0,-38,2
38 BBY,38 BBY,W. Wald is born on Tatooine.,The Great Peace of the Republic,0,-38,3
38 BBY,38 BBY,A Galactic Republic survey team crash-lands on Dagobah and begins a one-way battle to survive.,The Great Peace of the Republic,0,-38,4
38 BBY,38 BBY,Professor Murk Lundi takes a sabbatical to scour Kodai for a lost Sith Holocron.,The Great Peace of the Republic,0,-38,5
37 BBY,37 BBY,The Yam'rii are enslaved.,The Great Peace of the Republic,0,-37,0
37 BBY,37 BBY,Orman Tagge is born on Tepasi.,The Great Peace of the Republic,0,-37,1
37 BBY,37 BBY,Hiram Drayson is born on Chandrila.,The Great Peace of the Republic,0,-37,2
37 BBY,37 BBY,Liberal revolution on Pergitor.,The Great Peace of the Republic,0,-37,3
37 BBY,37 BBY,Bene is born.,The Great Peace of the Republic,0,-37,4
36 BBY,36 BBY,Finis Valorum is re-elected Supreme Chancellor.[144],The Great Peace of the Republic,0,-36,0
36 BBY,36 BBY,Gilad Pellaeon is accepted into the Raithal Academy at age fifteen.[31],The Great Peace of the Republic,0,-36,1
36 BBY,36 BBY,The Yam'rii uprising.,The Great Peace of the Republic,0,-36,2
36 BBY,36 BBY,Nenevanth Tion is born on Lianna.[152],The Great Peace of the Republic,0,-36,3
36 BBY,36 BBY,Ahsoka Tano is born on Shili.[153],The Great Peace of the Republic,0,-36,4
36 BBY,36 BBY,Horton Salm is born.,The Great Peace of the Republic,0,-36,5
35 BBY,35 BBY,The Techno Union takes control of Saleucami.,The Great Peace of the Republic,0,-35,0
35 BBY,35 BBY,"The Great Resynchronization occurs, in an attempt to harmonize different Galactic calendars.",The Great Peace of the Republic,0,-35,1
35 BBY,35 BBY,Garm Bel Iblis is elected to represent Corellia in the Galactic Senate.,The Great Peace of the Republic,0,-35,2
35 BBY,35 BBY,Padmé Naberrie is made an Apprentice Legislator.,The Great Peace of the Republic,0,-35,3
35 BBY,35 BBY,Jedgar is born.,The Great Peace of the Republic,0,-35,4
35 BBY,35 BBY,Thrackan Sal-Solo is born on Corellia.,The Great Peace of the Republic,0,-35,5
34 BBY,34 BBY,Tyber Zann is born on Anaxes.,The Great Peace of the Republic,0,-34,0
34 BBY,34 BBY,Sintas Vel is born on Kiffu.,The Great Peace of the Republic,0,-34,1
34 BBY,34 BBY,Mandalorian Myles dies on Galidraan.[148],The Great Peace of the Republic,0,-34,2
34 BBY,34 BBY,Anakin Skywalker begins to build C-3PO out of the pieces of several broken protocol droids.,The Great Peace of the Republic,0,-34,3
33 BBY,33 BBY,"In response to a wave of Nebula Front attacks, the Galactic Senate grants the Trade Federation the right to arm its ships, in return for trade route taxation.",The Great Peace of the Republic,0,-33,0
33 BBY,33 BBY,Padmé Amidala becomes Princess of Theed.,The Great Peace of the Republic,0,-33,1
33 BBY,33 BBY,Nute Gunray assumes full control over the Trade Federation in the aftermath of the disastrous Eriadu Trade Summit.,The Great Peace of the Republic,0,-33,2
33 BBY,33 BBY,The Yinchorri Uprising begins.[154],The Great Peace of the Republic,0,-33,3
33 BBY,33 BBY,Wilhuff Tarkin becomes Lieutenant Governor of Eriadu.,The Great Peace of the Republic,0,-33,4
33 BBY,33 BBY,Republic exploration ship Pathfinder III rediscovers Yashuvhu.,The Great Peace of the Republic,0,-33,5
33 BBY,33 BBY,R2-D2 is created.,The Great Peace of the Republic,0,-33,6
33 BBY,33 BBY,Ki-Adi-Mundi joins the Jedi Council.,The Great Peace of the Republic,0,-33,7
32 BBY,32 BBY,"As a protest to the increased taxation of trade routes, the Trade Federation, under the influence of Darth Sidious, blockades, and eventually invades, Naboo.[155]",The Great Peace of the Republic,0,-32,0
32 BBY,32 BBY,"Count Dooku murders Sifo-Dyas and becomes Darth Tyranus, the second Sith apprentice of Darth Sidious.[157]",The Great Peace of the Republic,0,-32,1
32 BBY,32 BBY,The Jedi High Council grants Obi-Wan Kenobi the rank of Jedi Knight and allow him to take on Anakin Skywalker as his Padawan.[155],The Great Peace of the Republic,0,-32,2
32 BBY,32 BBY,The Red Guard is formed.,The Great Peace of the Republic,0,-32,3
32 BBY,32 BBY,"Bail Antilles retires as Senator of Alderaan, and is succeeded by Bail Organa.[158]",The Great Peace of the Republic,0,-32,4
32 BBY,32 BBY,Rotta is born to Jabba Desilijic Tiure on Tatooine.[153],The Great Peace of the Republic,0,-32,5
32 BBY,32 BBY,The Yuuzhan Vong reach the galaxy.[159],The Great Peace of the Republic,0,-32,6
32 BBY,32 BBY,"Following the Battle of Naboo, Senator Palpatine is elected Supreme Chancellor of the Republic, replacing Finis Valorum.[155]",The Great Peace of the Republic,0,-32,7
32 BBY,32 BBY,"Darth Plagueis is killed by his apprentice, Darth Sidious, who then becomes the new Dark Lord of the Sith.[141]",The Great Peace of the Republic,0,-32,8
32 BBY,32 BBY,"Queen Amidala returns to Naboo and ends a period of disdain between the two predominant species on the planet: Humans and Gungans. The Gungans engage the droid army while the Queen and her security force capture the leaders of the Trade Federation. In the battle, Qui-Gon Jinn is killed by Darth Maul, who, in turn, is bisected by Obi-Wan Kenobi, but survives. Daultay Dofine is killed when the Droid Control Ship is destroyed by Anakin Skywalker.[155]",The Great Peace of the Republic,0,-32,9
32 BBY,32 BBY,"The Queen arrives on Coruscant and addresses the Galactic Senate about the Trade Federation's occupation of Naboo. Due to Supreme Chancellor Finis Valorum's apparent inability to take direct action to help Naboo, Amidala calls for a Vote of No Confidence in Valorum's leadership. Valorum is promptly impeached the following day.[155]",The Great Peace of the Republic,0,-32,10
32 BBY,32 BBY,"While on Tatooine, Darth Maul is encountered by Qui-Gon Jinn. This eventually leads to the Jedi Order learning that the Sith have returned.[155]",The Great Peace of the Republic,0,-32,11
32 BBY,32 BBY,"Anakin Skywalker, a slave boy, is discovered by Qui-Gon Jinn on Tatooine. Qui-Gon wins Anakin's freedom by betting against Anakin's owner Watto in the Boonta Eve Classic podrace, which Anakin himself participates in. The monetary winnings from the race are subsequently used to repair the Naboo Royal Starship's hyperdrive.[155]",The Great Peace of the Republic,0,-32,12
32 BBY,32 BBY,"Queen Amidala, the Jedi, and their allies escape Naboo onboard the Naboo Royal Starship. However, the ship's hyperdrive and shield generator are both damaged. Though the shields are restored by the astromech droid R2-D2, the damage to the hyperdrive forces them to land on the remote world Tatooine for repairs.[155]",The Great Peace of the Republic,0,-32,13
32 BBY,32 BBY,"Jinn and Kenobi flee to the surface of the planet during the early stages of the invasion and rescue Queen Amidala, along with her political retinue and personal security force. Due to a communications blackout on Naboo, they decide to travel to Coruscant to appeal directly to the Galactic Senate regarding the Trade Federation's invasion.[155]",The Great Peace of the Republic,0,-32,14
32 BBY,32 BBY,Obi-Wan Kenobi and Qui-Gon Jinn are secretly dispatched by Chancellor Valorum to resolve the conflict peacefully. This fails when Viceroy Gunray orders the Jedi to be killed.[155],The Great Peace of the Republic,0,-32,15
32 BBY,32 BBY,"Padmé Amidala, former Princess of Theed, is elected Queen of Naboo.[155]",The Great Peace of the Republic,0,-32,16
32 BBY,32 BBY,"The creation of a secret clone army begins on Kamino, under the order placed by Jedi Master Sifo-Dyas. Jango Fett a bounty hunter whose DNA is the specimen for replication, requests an unaltered clone be made for him; he names him Boba Fett.[156]",The Great Peace of the Republic,0,-32,17
32 BBY,32 BBY,"Count Dooku leaves the Jedi Order and disappears, secretly joining Darth Sidious.[19]",The Great Peace of the Republic,0,-32,18
31 BBY,31 BBY,Crix Madine is born on Corellia.[138],The Great Peace of the Republic,0,-31,0
31 BBY,31 BBY,Lando Calrissian is born on Socorro.[160],The Great Peace of the Republic,0,-31,1
31 BBY,31 BBY,Borsk Fey'lya is born on Kothlis. (Approximate date),The Great Peace of the Republic,0,-31,2
31 BBY,31 BBY,Silya Shessaun is elected Senator of Thesme.,The Great Peace of the Republic,0,-31,3
31 BBY,31 BBY,Quinlan Vos is captured by the Witches of Dathomir and taken as a slave.,The Great Peace of the Republic,0,-31,4
31 BBY,31 BBY,The Nightsisters succeed in capturing a Star Temple and slaughter many Kwi.,The Great Peace of the Republic,0,-31,5
31 BBY,31 BBY,Poggle the Lesser leads a revolt against Archduke Hadiss the Vaulted on Geonosis. The revolt is successful and Poggle succeeds Hadiss as Archduke.,The Great Peace of the Republic,0,-31,6
30 BBY,30 BBY,"Adi Gallia, Ki-Adi-Mundi and A'Sharad Hett begin the hunt for Aurra Sing.",The Great Peace of the Republic,0,-30,0
30 BBY,30 BBY,"The Jedi Knight Vergere traveled to Zonama Sekot and encountered an advance scouting force of Yuuzhan Vong, which she then left with to prevent any conflict from harming the world.[1]",The Great Peace of the Republic,0,-30,1
30 BBY,30 BBY,Ysanne Isard is born on Coruscant. (Approximate date)[161],The Great Peace of the Republic,0,-30,2
30 BBY,30 BBY,Kh'aris Fenn attempts a coup on the Twi'lek Clan Council.,The Great Peace of the Republic,0,-30,3
30 BBY,30 BBY,Anzati released from stasis by Aayla Secura overrun Kiffex.,The Great Peace of the Republic,0,-30,4
30 BBY,30 BBY,Professor Rynalla attempts to excavate the Bracers of Najus on Leritor.,The Great Peace of the Republic,0,-30,5
29 BBY,29 BBY,Thracia Cho Leem leaves the Jedi Order.,The Great Peace of the Republic,0,-29,0
29 BBY,29 BBY,Raith Sienar presents the original concept for the Death Star to Wilhuff Tarkin.,The Great Peace of the Republic,0,-29,1
29 BBY,29 BBY,Han Solo is born on Corellia.,The Great Peace of the Republic,0,-29,2
29 BBY,29 BBY,Preparations begin for the Outbound Flight Project.,The Great Peace of the Republic,0,-29,3
29 BBY,29 BBY,Dash Rendar is born on Corellia. (Approximate date),The Great Peace of the Republic,0,-29,4
29 BBY,29 BBY,"The Jamaane Coup occurs within the Yuuzhan Vong; Quoreal is deposed as Supreme Overlord, and Shimrra Jamaane takes his place.",The Great Peace of the Republic,0,-29,5
28 BBY,28 BBY,The Vagaari are defeated by the Chiss Ascendancy.,The Great Peace of the Republic,0,-28,0
28 BBY,28 BBY,Bria Tharen is born on Corellia. (Approximate date),The Great Peace of the Republic,0,-28,1
28 BBY,28 BBY,Soontir Fel is born on Corellia.,The Great Peace of the Republic,0,-28,2
28 BBY,28 BBY,Chancery election; Palpatine is re-elected Supreme Chancellor.,The Great Peace of the Republic,0,-28,3
28 BBY,28 BBY,Luminara Unduli takes Barriss Offee as her Padawan. (Approximate date),The Great Peace of the Republic,0,-28,4
28 BBY,28 BBY,The Colicoids take over spice processing on Nar Shaddaa.,The Great Peace of the Republic,0,-28,5
28 BBY,28 BBY,Aayla Secura is knighted on Coruscant.,The Great Peace of the Republic,0,-28,6
28 BBY,28 BBY,Quinlan Vos is promoted to Jedi Master on Coruscant.,The Great Peace of the Republic,0,-28,7
27 BBY,27 BBY,Master Yarael Poof is slain by Ashaar Khorda while protecting Coruscant from the Infant of Shaa.,The Great Peace of the Republic,0,-27,0
27 BBY,27 BBY,Firmus Piett is born on Axxila.,The Great Peace of the Republic,0,-27,1
27 BBY,27 BBY,Reija Momen becomes administrator of the Intergalactic Communications Center.,The Great Peace of the Republic,0,-27,2
27 BBY,27 BBY,"The Outbound Flight Project departs from Yaga Minor, but is destroyed shortly after by Mitth'raw'nuruodo.[162]",The Great Peace of the Republic,0,-27,3
27 BBY,27 BBY,The Sepan Civil War begins.,The Great Peace of the Republic,0,-27,4
27 BBY,27 BBY,Radnor is struck by a bioplague; the nearby Avoni attempt to conquer it.,The Great Peace of the Republic,0,-27,5
27 BBY,27 BBY,Cliegg Lars marries Shmi Skywalker.,The Great Peace of the Republic,0,-27,6
27 BBY,27 BBY,Mon Mothma is elected Senator of Chandrila.,The Great Peace of the Republic,0,-27,7
26 BBY,26 BBY,Yeorg Captison is elected to the Bakuran Senate.,The Great Peace of the Republic,0,-26,0
26 BBY,26 BBY,Maxo Vista wins the Galactic Games.,The Great Peace of the Republic,0,-26,1
25 BBY,25 BBY,"Alderaanian scouts find the planet Isis, but keep it a secret.",The Great Peace of the Republic,0,-25,0
25 BBY,25 BBY,Omwat is rediscovered by Wilhuff Tarkin.,The Great Peace of the Republic,0,-25,1
25 BBY,25 BBY,Stevan Makintay is born on Hargeeva.,The Great Peace of the Republic,0,-25,2
25 BBY,25 BBY,The Yuuzhan Vong establish an advance base on the planet Bimmiel.,The Great Peace of the Republic,0,-25,3
25 BBY,25 BBY,The Jedi begin a campaign against the Pirates of Iridium.,The Great Peace of the Republic,0,-25,4
25 BBY,25 BBY,Yaddle sacrifices herself to save the people of Mawan by using the Force to absorb a deadly chemical weapon.,The Great Peace of the Republic,0,-25,5
25 BBY,25 BBY,"Shaak Ti joins the Jedi Council, replacing Yaddle.",The Great Peace of the Republic,0,-25,6
24 BBY,24 BBY,"Amidala, after serving two terms as Queen, is appointed by her successor Jamillia to be Naboo's Senator.",The Great Peace of the Republic,0,-24,0
24 BBY,24 BBY,Palpatine reaches the end of his second term as Supreme Chancellor; the passage of the Emergency Powers Act allows him to stay in office until the Separatist Crisis is dealt with.,The Great Peace of the Republic,0,-24,1
24 BBY,24 BBY,"In response to the growing threat of the CIS, the Military Creation Act, a bill proposing the reformation of the Republc's armed forces, is brought to the Galactic Senate floor for the first time.",The Great Peace of the Republic,0,-24,2
