event,era,sub-era,sub-sub-era,year-cleaned,start,end,start+deprecated,end,yearcode,year-3,year-2,year,order-code,y-key
Xea dies of an incident caused by the rebel-conducted theft of an air scrubber farm on Eriadu. (Approximate date)[361],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,505,0
"By this point, the mother of the individual who came to be known as TK-462 had passed away. (Approximate date)[362]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,506,1
A mission to hijack an Imperial weapons shipment occurs.[363][364],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,507,2
Darth Sidious and Darth Vader undertake a mission to Ryloth.[363][364],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,508,3
The Free Ryloth movement led by Cham Syndulla attempts to assassinate the two Sith Lords.[363][364],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,509,4
Deaths of Belkor Dray and Isval.[363][364],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,510,5
The Berch Teller campaign occurs.[9][365],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,511,6
Moff Wilhuff Tarkin enunciates the Tarkin Doctrine.[9][365],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,512,7
"A major shift in the Imperial bureaucracy occurs as a result of the Berch Teller campaign; the Deputy Director position of Imperial Intelligence's Naval Intelligence Agency is filled by Colonel Wullf Yularen of the Imperial Security Bureau whilst ISB Deputy Director Harus Ison is reassigned to the Ubiqtorate. Additionally, Admiral Nils Tenant is promoted to the Joint Chiefs, Wilhuff Tarkin is appointed to the newly-created position of Grand Moff as well as Governor of the Outer Rim Territories, and the Imperial Ruling Council members Conan Antonio Motti and Cassio Tagge are also promoted.[9][365]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,513,8
"With its newly-installed hyperdrive recovered from Berch Teller's insurgency, the Death Star leaves Geonosis' orbit and moves into deep space.[9][365]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,514,9
"The Inquisitorius discovers former Padawan Cal Kestis in hiding on Bracca, sending the Second Sister and Ninth Sister to apprehend him. Following a tense confrontation, Kestis escapes the planet aboard the Stinger Mantis.[325]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,515,10
"Cal Kestis sets out with former Jedi Cere Junda, pilot Greez Dritus, and the droid BD-1 to recover a holocron sealed within a vault on Bogano by the late Jedi Master Eno Cordova.[325]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,516,11
"By order of the Emperor, a Project Auger outpost is established on Zeffo, excavating the tombs of sages Eilram and Miktrull.[325]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,517,12
"Saw Gerrera and the Partisans attack an Imperial Refinery  on Kashyyyk. With the help of Cal Kestis, they successfully free numerous Wookiee slaves, but are eventually forced to retreat from the planet by the Empire. Several Partisan fighters choose to stay; led by Mari Kosan, they flee into the Shadowlands to join Chieftain Tarfful's resistance.[325]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,518,13
The Haxion Brood places a large bounty on Cal Kestis.[325],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,519,14
"Cal Kestis arrives on Dathomir in search of the Tomb of Kujet, but is accosted by the nightsister Merrin and the mad Jedi Taron Malicos, damaging his master's lightsaber in the process.[325]      Cal Kestis and Saw Garrera",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,520,15
"After building a new lightsaber on Imperial Ilum, which now houses a world-wide artificial trench, Cal Kestis returns to Dathomir, defeating Taron Malicos and recruiting Merrin to his cause.[325]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,521,16
"The Bogano Vault is breached by the Second Sister, stealing Eno Cordova's holocron for the Empire.[325]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,522,17
"Cal Kestis and Cere Junda storm the Fortress Inquisitorius on Nur to recover Eno Cordova's holocron. After defeating the Second Sister, the two are nearly killed by Darth Vader, barely escaping the facility with their lives and the holocron. Back onboard the Stinger Mantis, Kestis chooses to destroy the holocron to prevent to Empire from obtaining its knowledge.[325]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,523,18
Berch Teller fails in attempting to assassinate Wilhuff Tarkin on Eriadu's Tarkin family-owned Carrion Plateau.[9][365],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,524,19
"Tarkin's tightening of the Empire's grip on the Outer Rim, including his homeworld Eriadu, ensures a safer environment for Imperial citizens on Eriadu. One such citizen was the brother of Xea, who leaves home to enlist as a stormtrooper after Governor Tarkin's visit to his farm despite his father's warnings. The brother of Xea joins the Junior Academy in Phelar, Eriadu. (Approximate date)[366]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,14 BBY,-14,-14,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,525,20
"While hiding on the planet Lah'mu with his wife, Lyra, and his daughter, Jyn Erso, Galen Erso is taken away by Orson Krennic to continue his work on the Death Star. Jyn is taken in by Saw Gerrera.[367]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,13 BBY,-13,-13,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,526,0
The relief mission to Ryloth occurs.[368],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,13 BBY,-13,-13,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,527,1
Han and Qi'ra attempts to escape from the Imperial-controlled Corellia; only the former is successful.[369],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,13 BBY,-13,-13,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,528,2
"Han enrolls in the Imperial Navy with the hopes of being a pilot. As Han lacks a family name, the enroller gives him the surname ""Solo.""[369][179]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,13 BBY,-13,-13,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,529,3
The brother of Xea graduates from the Junior Academy to the Imperial Academy of Eriadu. He eventually becomes the stormtrooper TK-462 and requests to be reassigned to combat rebels on Lothal. (Approximate date)[370],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,13 BBY,-13,-13,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,530,4
Ephraim and Mira Bridger are captured by the Galactic Empire.[371],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,12 BBY,-12,-12,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,531,0
Hera Syndulla leaves Ryloth to fight against the Empire.[1],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,12 BBY,-12,-12,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,532,1
"K-2SO is constructed on Vulpter.[21]      The former Anakin Skywalker would not let his lover go, and an apparition of her in his Force vision was destroyed.",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,12 BBY,-12,-12,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,533,2
"Lord Momin constructs Fortress Vader on Mustafar's Gahenn Plains for Darth Vader,[372] who then kills the dark side servant and artist after a battle against Mustafarians disturbed by the castle's construction.[373] Vader then enters the portal within the Sith cave beneath his fortress, encountering apparitions of his past and losing his lover, Padmé Amidala, once again in his inability to let go. After witnessing the future coming of a figure who was, unbeknownst to the Dark Lord of the Sith, his son Luke Skywalker, Darth Vader destroys the portal in his anger, accepting that it gave him what he needed.[374][375]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,11 BBY,-11,-11,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,534,0
"Obi-Wan Kenobi rescues Luke Skywalker when the boy confronts Jabba the Hutt's henchmen about their master's ""water tax,"" under which the local farmers are suffering during the Great Drought. Kenobi carries the unconscious Skywalker to the Lars family homestead and leaves before he wakes up, but the child's courage reassures Kenobi that the Jedi have not yet met their end; his waning hope is renewed.[376] (Approximate date)[377]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,11 BBY,-11,-11,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,535,1
The Gorse conflict occurs.[147],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,11 BBY,-11,-11,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,536,2
Hera Syndulla and Kanan Jarrus join forces.[147],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,11 BBY,-11,-11,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,537,3
Birth of Temmin Wexley on Akiva.[16],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,11 BBY,-11,-11,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,538,4
"Death of Enfys Nest's mother,[378] leader of the Cloud-Riders, the mantle of which passes down to the teenage Enfys Nest.[379]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,11 BBY,-11,-11,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,539,5
"Jabba Desilijic Tiure sends Black Krrsantan to hunt down Obi-Wan Kenobi.[380]      Tasked with overseeing the offspring of Anakin Skywalker, Obi-Wan Kenobi resided on Tatooine, committing acts of vigilantism on the lawless world where possible.",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,540,0
The Galactic Empire establishes the Imperial security complex on Scarif's surface.[381],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,541,1
"""Vader's Many Prosthetic Parts,"" a song written by Nakari Kelen's mother and performed by the group Hakko Drazlip and the Tootle Froots, that mocked Darth Vader, is published. Just days after its release, the Empire sent the entire membership of the group to the spice mines of Kessel.[382]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,542,2
Han Solo is expelled from the Imperial Flight Academy for insubordination.[194],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,543,3
The Mimban campaign occurs; Han Solo meets his future lifelong friend Chewbacca and deserts from the Empire on Mimban to join Tobias Beckett's gang. Solo [369],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,544,4
The Heist on Vandor occurs.[369],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,545,5
"The raid on Kessel occurs; L3-37 is destroyed, and Han Solo makes the Kessel Run in less than 12 parsecs.[369]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,546,6
The Showdown on Savareen occurs; Dryden Vos is killed by Qi'ra; Tobias Beckett is killed by Han Solo.[369],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,547,7
Han Solo wins the Millennium Falcon from Lando Calrissian in a game of sabacc on Numidian Prime.[369],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10 BBY,-10,-10,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,548,8
Construction of the Death Star moves from Geonosis to Scarif.[381][21],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,10–9 BBY,-10,-9,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,549,9
Miara Larte is promoted to the Rebel Alliance rank of captain at a ceremony on Alderaan.[383][384],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,9 BBY,-9,-9,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,550,0
Admiral Jyrom Ottdell of the Imperial Navy is murdered with poisonous zolall extract.[37],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,9 BBY,-9,-9,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,551,1
"Imperial Security Bureau's Agent Andressa Divo investigates the Malkite poisoners as a result of Jyrom Ottdell's murder, though Divo receives ""Malkite poisoner kits"" with an inscription warning against continuing the investigation.[37]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,9 BBY,-9,-9,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,552,2
Jak is born on Coruscant.[16],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,9 BBY,-9,-9,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,553,3
Bodhi Rook enters the Terrabe Sector Service Academy to train to be a pilot.[119],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,7 BBY,-7,-7,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,554,0
The mission to Horuz occurs.[385],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,7 BBY,-7,-7,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,555,1
Un'hee is born.[386],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,7 BBY,-7,-7,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,556,2
The mission to Inusagi occurs.[385],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,6 BBY,-6,-6,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,557,0
The Malkhani Insurrections occurs.[3],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,6 BBY,-6,-6,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,558,1
The Leonis family migrates to Lothal.[387],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,6 BBY,-6,-6,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,559,2
The Westhills massacre occurs.[387],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,6 BBY,-6,-6,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,560,3
Dhara Leonis is kidnapped by the Grand Inquisitor and forcibly inducted into Project Harvester.[388],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,6 BBY,-6,-6,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,561,4
The Westhills skirmish occurs.[387],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,6 BBY,-6,-6,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,562,5
The mission to Tamsye Prime occurs.[385],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,563,0
The Spectres raid an Imperial supply convoy[389] and attack an Imperial airfiel on Lothal.[390],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,564,1
"The Spectres conduct a heist in Capital City, meeting the Force-sensitive, Lothalite thief Ezra Bridger. He is recruited by the Spectres as their leader, Kanan Jarrus, takes up the ways of the Jedi once more and takes on Bridger as his Padawan learner.[391]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,565,2
A mission to steal Imperial weapons occurs.[392],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,566,3
"Senator Bail Organa sends his droids, C-3PO and R2-D2, to stop an Imperial plan to mass-produce T-7 ion disruptor rifles on Lothal. The droids are helped by Spectres.[392]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,567,4
Ezra and Garazeb steal an Imperial TIE Fighter owned by Baron Valen Rudor.[393]      A rebel group known as the Spectres began efforts to undermine Imperial control.,Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,568,5
An attack on Imperial Troop Transports occurs.[393],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,569,6
Merei Spanjaf stages a data breach at the Imperial Transportation Ministry on Lothal.[388],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,570,7
The Spectres embark on a mission to destroy a kyber crystal with the assistance of Imperial cadet Zare Leonis.[388],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,571,8
An attack on an Imperial convoy occurs.[394],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,5 BBY,-5,-5,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,572,9
The bombing at the Empire Day parade occurs.[349],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,573,0
"The Spectres disrupt the Empire Day celebration in Lothal's Capital City, prompting an Imperial crackdown on Lothal.[349][395]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,574,1
TK-462 is killed in action on Lothal. (Approximate date)[396],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,575,2
The rescue of Tseebo occurs.[349],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,576,3
"Ezra Bridger passes his trial to overcome his fears and receives a kyber crystal. He uses it in the construction of his lightsaber, which is completed several weeks later.[397]",Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,577,4
The mission to Lando Calrissian's farm occurs.[398],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,578,5
The assault on the Gray Syndicate occurs.[395],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,579,6
The trap in the Old Republic Senate Building occurs.[399],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,580,7
The raid near Jalath occurs.[400],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,581,8
The raid on the communications tower occurs.[400],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,582,9
Kanan Jarrus is captured by Grand Moff Wilhuff Tarkin on Lothal.[400],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,583,10
Ezra sends out a message inciting rebellion which is heard on Lothal and in surrounding star systems.[400],Imperial Era (19–5 ABY),"""The Dark Times"" (19–4 BBY)",,4 BBY,-4,-4,-19,-4,3,19–4 BBY,19–4 BBY,19–5 ABY,584,11
"The Spectres mount a rescue of Kanan Jarrus, which leads to the death of the Grand Inquisitor and destruction of Grand Moff Tarkin's personal Star Destroyer, the Sovereign, with the aid of Phoenix.[401]      Jedi-learner Ezra Bridger of the Spectres made a call for action against years of Imperial rule. The spark of hope is shared by Lothalites despite attempts to quell the rebel resolve by the dispatchment of high-ranking Imperials.",Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,585,12
The resulting action at Mustafar[166] is one of the earliest victories in the Galactic Civil War[402] waged by the rebelling galactic populace against the Galactic Empire.[19],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,586,13
The tribunal of Zare Leonis occurs.[403],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,587,14
The Rescue of Dhara Leonis occurs.[403],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,588,15
The mission to rescue Janard occurs.[404],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,589,16
"The Spectres conduct a mission to steal Imperial shield generators, where they are personally confronted by Darth Vader.[405][11]",Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,590,17
"Siege of Lothal; a blockade is imposed by the Empire on Lothal, and the Phoenix Cell rebel fleet is crippled by Darth Vader. The Empire fails to capture the Spectres, however, who escaped with the remaining rebel fleet.[405]",Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,591,18
"Darth Vader dispatches two Inquisitors—the Fifth Brother and Seventh Sister—to hunt down the Jedi Ahsoka Tano, Kanan Jarrus, and Ezra Bridger.[405]",Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,592,19
The assault on Seelos occurs.[345],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,593,20
Rex joins Phoenix Squadron.[345],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,594,21
The mission to Absanz occurs.[406],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,595,22
A skirmish aboard a Republic medical station occurs.[407],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,596,23
The skirmish in Nixus Hub 218 occurs.[408],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,597,24
The blockade of Ibaar occurs.[409],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,598,25
"A prototype B-wing created by Mon Calamari engineer Quarrie is given to Phoenix Squadron.[409]      Through their actions and experiences made together, clone and Jedi uprooted the distrust sowed between them by Darth Sidious.",Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,599,26
The skirmish on Thrad occurs.[410],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,600,27
The skirmish in the Garel City Spaceport occurs.[411],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,601,28
The rescue on the Imperial Interdictor occurs.[412],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,602,29
The battle with Phoenix Squadron occurs.[413],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,4 BBY,-4,-4,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,603,30
Leia Organa's Day of Demand occurs.[79],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,3 BBY,-3,-3,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,604,0
The attack on Calderos occurs.[79],Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,3 BBY,-3,-3,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,605,1
"The assassination of Quarsh Panaka occurs. By this point, Dalné became Queen of Naboo, though the position was made ceremonial by the Galactic Empire.[79]",Imperial Era (19–5 ABY),Galactic Civil War (4 BBY–5 ABY),,3 BBY,-3,-3,-4,5,3,4 BBY–5 ABY,4 BBY–5 ABY,19–5 ABY,606,2
